name,feature,what
Вирджиния Поттс,Гражданство,Спасительница
Вирджиния Поттс,Пол,Человек
Наталья Альяновна Романофф,Настоящее имя,Наталья Альяновна Романофф
Квентин Бек,Настоящее имя,Квентин Бек
Наталья Альяновна Романофф,Также известен как,Наташа Романофф
Наталья Альяновна Романофф,Вид,Чёрная вдова
Наталья Альяновна Романофф,Гражданство,Нат
Наталья Альяновна Романофф,Пол,Натали Рашман
Квентин Бек,Также известен как,Мистерио
Квентин Бек,Вид,Гибрид 
Квентин Бек,Гражданство,Железного человека
Квентин Бек,Пол, и 
Энтони Эдвард Старк,Настоящее имя,Энтони Эдвард Старк
Обадайя Стейн,Настоящее имя,Обадайя Стейн
Бенджамин Пойндекстер,Настоящее имя,Бенджамин Пойндекстер
Мэри Уолкер,Настоящее имя,Мэри Уолкер
Энтони Эдвард Старк,Также известен как,Тони Старк
Энтони Эдвард Старк,Вид,Железный человек
Энтони Эдвард Старк,Гражданство,Новенький
Энтони Эдвард Старк,Пол,Провидец
Обадайя Стейн,Также известен как,Железный торговец
Обадайя Стейн,Вид,Оби
Обадайя Стейн,Гражданство,Человек
Обадайя Стейн,Пол, 
Бенджамин Пойндекстер,Также известен как,Декс
Бенджамин Пойндекстер,Вид,Бен Пойндекстер
Бенджамин Пойндекстер,Гражданство,Сорвиголова
Бенджамин Пойндекстер,Пол,Выпендрёжник
Мэри Уолкер,Также известен как,Мэри
Мэри Уолкер,Вид,Уолкер
Мэри Уолкер,Гражданство,Человек
Мэри Уолкер,Пол, 
Н'Джадака ,Настоящее имя,Н'Джадака 
Мария Рамбо,Настоящее имя,Мария Рамбо
Н'Джадака ,Также известен как,Эрик Стивенс
Н'Джадака ,Вид,Эрик Киллмонгер
Н'Джадака ,Гражданство,Киллмонгер
Н'Джадака ,Пол,Клайд
Мария Рамбо,Вид,Человек
Мария Рамбо,Гражданство, 
Мария Рамбо,Пол,США
Мария Рамбо,Принадлежность,Женский
Кэрол Сьюзан Джейн Денверс,Настоящее имя,Кэрол Сьюзан Джейн Денверс
Уильям Габриель,Настоящее имя,Уильям Габриель
Николас Джозеф Фьюри,Настоящее имя,Николас Джозеф Фьюри
Таддеус Е. Росс,Настоящее имя,Таддеус Е. Росс
Кэрол Сьюзан Джейн Денверс,Также известен как,Капитан Марвел
Кэрол Сьюзан Джейн Денверс,Вид,Мститель
Кэрол Сьюзан Джейн Денверс,Гражданство,Перебежчик
Кэрол Сьюзан Джейн Денверс,Пол,Верс
Уильям Габриель,Также известен как,Генерал Габриель
Уильям Габриель,Вид,Человек
Уильям Габриель,Гражданство,США
Уильям Габриель,Пол,Мужской
Николас Джозеф Фьюри,Также известен как,Ник Фьюри
Николас Джозеф Фьюри,Вид,Шпион
Николас Джозеф Фьюри,Гражданство,Директор Фьюри
Николас Джозеф Фьюри,Пол,Полковник Фьюри
Таддеус Е. Росс,Также известен как,Громовержец
Таддеус Е. Росс,Вид,Т
Таддеус Е. Росс,Гражданство,Генерал
Таддеус Е. Росс,Пол,Мистер Секретарь
Рейна,Настоящее имя,Рейна
Рейна,Также известен как,Девушка в цветочном платье
Рейна,Вид,Цветочек
Рейна,Пол,Нелюдь
Рейна,Дата смерти,Женский
Йен Куинн,Настоящее имя,Йен Куинн
Эдисон По,Настоящее имя,Эдисон По
Фрэнсис Дэвид Касл ст.,Настоящее имя,Фрэнсис Дэвид Касл ст.
Йен Куинн,Вид,Человек
Йен Куинн,Гражданство,США
Йен Куинн,Пол,Мальта
Йен Куинн,Принадлежность,Мужской
Эдисон По,Вид,Человек
Эдисон По,Гражданство,США
Эдисон По,Пол,Мужской
Эдисон По,Дата смерти,7 февраля 2014
Фрэнсис Дэвид Касл ст.,Также известен как,Фрэнк Касл
Фрэнсис Дэвид Касл ст.,Вид,Каратель
Фрэнсис Дэвид Касл ст.,Гражданство,Убиватор
Фрэнсис Дэвид Касл ст.,Пол,Придурок со стволом
Акила Амадор,Настоящее имя,Акила Амадор
Джеймс Руперт Роудс,Настоящее имя,Джеймс Руперт Роудс
Акила Амадор,Вид,Человек
Акила Амадор,Гражданство, 
Акила Амадор,Пол,США
Акила Амадор,Дата рождения,Женский
Вернер фон Штрукер,Настоящее имя,Вернер фон Штрукер
Джеймс Руперт Роудс,Также известен как,Роуди
Джеймс Руперт Роудс,Вид,Военная машина
Джеймс Руперт Роудс,Гражданство,Воитель
Джеймс Руперт Роудс,Пол,Железный патриот
Руби Хейл,Настоящее имя,Руби Хейл
Гленн Талбот,Настоящее имя,Гленн Талбот
Вернер фон Штрукер,Также известен как,Александр Браун
Вернер фон Штрукер,Вид,Пацан
Вернер фон Штрукер,Пол,Алекс
Вернер фон Штрукер,Принадлежность,Нестор де ла Крус
Виктор Орлов,Настоящее имя,Виктор Орлов
Руби Хейл,Вид,Человек
Руби Хейл,Гражданство, 
Руби Хейл,Пол,США
Руби Хейл,Дата рождения,Женский
Гленн Талбот,Также известен как,Свой человек
Гленн Талбот,Вид,Генерал
Гленн Талбот,Гражданство,Величайший герой 
Гленн Талбот,Пол,Земли
Виктор Орлов,Вид,Человек
Виктор Орлов,Гражданство, 
Виктор Орлов,Пол,Советский Союз
Виктор Орлов,Принадлежность, 
Юрий Зайкин,Настоящее имя,Юрий Зайкин
Майкл Питерсон,Настоящее имя,Майкл Питерсон
Василий Карпов,Настоящее имя,Василий Карпов
Юрий Зайкин,Также известен как,Ли Харви Кто-то-там
Юрий Зайкин,Вид,Пушкин
Юрий Зайкин,Гражданство,Человек
Юрий Зайкин,Пол, 
Майкл Питерсон,Также известен как,Майк Питерсон
Майкл Питерсон,Вид,Майки
Майкл Питерсон,Гражданство,Детлок
Майкл Питерсон,Пол,Кибер-солдат
Василий Карпов,Вид,Человек
Василий Карпов,Гражданство, 
Василий Карпов,Пол,Советский Союз
Василий Карпов,Дата смерти, 
Кибо,Настоящее имя,Кибо
Джонатан Гарретт,Настоящее имя,Джонатан Гарретт
Антон Иванов,Настоящее имя,Антон Иванов
Пьетро Максимофф,Настоящее имя,Пьетро Максимофф
Джаспер Ситуэлл,Настоящее имя,Джаспер Ситуэлл
Кибо,Вид,Человек
Кибо,Пол,Мужской
Кибо,Дата смерти,10 декабря 2015
Кибо,Принадлежность,ГИДРА
Джонатан Гарретт,Также известен как,Джон Гарретт
Джонатан Гарретт,Вид,Ясновидец
Джонатан Гарретт,Гражданство,Провидец
Джонатан Гарретт,Пол,Детлок
Антон Иванов,Также известен как,Главный
Антон Иванов,Вид,Совершенный человек
Антон Иванов,Гражданство,Краснорубашечник
Антон Иванов,Пол,Главный Сторожевой пёс
Пьетро Максимофф,Также известен как,Ртуть
Пьетро Максимофф,Вид,[1]
Пьетро Максимофф,Гражданство,Быстрый засранец
Пьетро Максимофф,Пол,Одарённые 
Джаспер Ситуэлл,Также известен как,Верхушка
Джаспер Ситуэлл,Вид,Человек
Джаспер Ситуэлл,Гражданство, 
Джаспер Ситуэлл,Пол,США
Ванда Максимофф,Настоящее имя,Ванда Максимофф
Лист,Настоящее имя,Лист
Барбара Морс,Настоящее имя,Барбара Морс
Ванда Максимофф,Также известен как,Алая ведьма
Ванда Максимофф,Вид,Ведьма
Ванда Максимофф,Гражданство,Мутанты 
Ванда Максимофф,Пол,Пьетро Максимофф
Лист,Вид,Человек
Лист,Гражданство, 
Лист,Пол,Германия
Лист,Дата смерти,Мужской
Барбара Морс,Также известен как,Бобби Морс
Барбара Морс,Вид,Демонический адский зверь
Барбара Морс,Гражданство,Барби
Барбара Морс,Пол,Боб
Кара Паламас,Настоящее имя,Кара Паламас
Стерн,Настоящее имя,Стерн
Р. Гийера,Настоящее имя,Р. Гийера
Кара Паламас,Также известен как,Агент 33
Кара Паламас,Вид,Мелинда Мэй
Кара Паламас,Пол,Скай
Кара Паламас,Принадлежность,Карла Талбот
Стерн,Также известен как,Сенатор Стерн
Стерн,Вид,Эксперт в проституции
Стерн,Гражданство,Человек
Стерн,Пол, 
Р. Гийера,Также известен как,Парень в костюме
Р. Гийера,Вид,Нелюдь
Р. Гийера,Гражданство,США
Р. Гийера,Пол,Мужской
Джемма Энн Симмонс,Настоящее имя,Джемма Энн Симмонс
Хайнц Крюгер,Настоящее имя,Хайнц Крюгер
Джемма Энн Симмонс,Также известен как,Фитц-Симмонс 
Джемма Энн Симмонс,Вид,Лео Фитцом
Джемма Энн Симмонс,Гражданство, 
Джемма Энн Симмонс,Пол,Профессор
Хайнц Крюгер,Также известен как,Фред Клемсон
Хайнц Крюгер,Вид,Человек
Хайнц Крюгер,Гражданство,Германия
Хайнц Крюгер,Пол,Мужской
Джеймс Бьюкенен Барнс,Настоящее имя,Джеймс Бьюкенен Барнс
Джек Роллинс,Настоящее имя,Джек Роллинс
Грант Дуглас Уорд,Настоящее имя,Грант Дуглас Уорд
Хейл,Настоящее имя,Хейл
Митчелл Карсон,Настоящее имя,Митчелл Карсон
Гидеон Малик,Настоящее имя,Гидеон Малик
Джеймс Бьюкенен Барнс,Также известен как,Баки Барнс
Джеймс Бьюкенен Барнс,Вид,Зимний солдат
Джеймс Бьюкенен Барнс,Гражданство,Бак
Джеймс Бьюкенен Барнс,Пол,Джимми
Джек Роллинс,Вид,Человек
Джек Роллинс,Гражданство,США
Джек Роллинс,Пол,Мужской
Джек Роллинс,Статус,Агент 
Грант Дуглас Уорд,Также известен как,"Злобный, безликий инструмент правительства"
Грант Дуглас Уорд,Вид,T-1000
Грант Дуглас Уорд,Гражданство,Супершпион
Грант Дуглас Уорд,Пол,Морской котик
Хейл,Также известен как,Мать
Хейл,Вид,Пилот заднего сидения
Хейл,Гражданство,Кракен
Хейл,Пол,Человек
Митчелл Карсон,Вид,Человек
Митчелл Карсон,Пол,Мужской
Митчелл Карсон,Принадлежность,Глава защиты 
Митчелл Карсон,Статус,Щ.И.Т.
Гидеон Малик,Также известен как,Старик
Гидеон Малик,Вид,Человек
Гидеон Малик,Пол,Мужской
Гидеон Малик,Дата смерти,26 апреля 2016
Вернер Райнхардт,Настоящее имя,Вернер Райнхардт
Вольфганг фон Штрукер,Настоящее имя,Вольфганг фон Штрукер
Александр Гудвин Пирс,Настоящее имя,Александр Гудвин Пирс
Вернер Райнхардт,Также известен как,Дэниел Уайтхолл
Вернер Райнхардт,Вид,Старик
Вернер Райнхардт,Гражданство,Человек
Вернер Райнхардт,Пол,Германия
Вольфганг фон Штрукер,Также известен как,Головорез ГИДРЫ номер один
Вольфганг фон Штрукер,Вид,Человек
Вольфганг фон Штрукер,Гражданство, 
Вольфганг фон Штрукер,Пол,Германия
Александр Гудвин Пирс,Вид,Человек
Александр Гудвин Пирс,Гражданство, 
Александр Гудвин Пирс,Пол,США
Александр Гудвин Пирс,Дата рождения,Мужской
Карл Крил,Настоящее имя,Карл Крил
Арним Зола,Настоящее имя,Арним Зола
Иоганн Шмидт,Настоящее имя,Иоганн Шмидт
Брок Рамлоу,Настоящее имя,Брок Рамлоу
Карл Крил,Также известен как,Крушитель
Карл Крил,Вид,Крушитель Крил
Карл Крил,Гражданство,Поглотитель
Карл Крил,Пол,Человек-Мишлен
Арним Зола,Вид,Человек
Арним Зола,Гражданство, 
Арним Зола,Пол,Нацистская Германия
Арним Зола,Дата смерти, 
Иоганн Шмидт,Также известен как,Красный Череп
Иоганн Шмидт,Вид,Герр Шмидт
Иоганн Шмидт,Гражданство,Герр Череп
Иоганн Шмидт,Пол,Хранитель камня
Брок Рамлоу,Также известен как,Кроссбоунс
Брок Рамлоу,Вид,Человек
Брок Рамлоу,Гражданство, 
Брок Рамлоу,Пол,США
Бобби,Настоящее имя,Бобби
Бобби,Вид,Человек
Бобби,Гражданство, 
Бобби,Пол,США
Бобби,Принадлежность,Мужской
Танелиир Тиван,Настоящее имя,Танелиир Тиван
Накия,Настоящее имя,Накия
Кристиин Эверхарт,Настоящее имя,Кристиин Эверхарт
Танелиир Тиван,Также известен как,Коллекционер
Танелиир Тиван,Пол,Сутенёр
Танелиир Тиван,Принадлежность,Белый
Танелиир Тиван,Статус,Шарлатан
Накия,Вид,Человек
Накия,Гражданство, 
Накия,Пол,Ваканда
Накия,Принадлежность,Женский
Кристиин Эверхарт,Вид,Человек
Кристиин Эверхарт,Гражданство, 
Кристиин Эверхарт,Пол,США
Кристиин Эверхарт,Принадлежность,Женский
Чесс Робертс,Настоящее имя,Чесс Робертс
Чесс Робертс,Вид,Человек
Чесс Робертс,Гражданство,США
Чесс Робертс,Пол,Женский
Чесс Робертс,Принадлежность,WHiH Мировые новости
Бенджамин Урих,Настоящее имя,Бенджамин Урих
Карен Пейдж,Настоящее имя,Карен Пейдж
Бенджамин Урих,Также известен как,Бен Урих
Бенджамин Урих,Вид,Бенни
Бенджамин Урих,Гражданство,Человек
Бенджамин Урих,Дата смерти,США
Карен Пейдж,Также известен как,Кей 
Карен Пейдж,Вид,Изабель Шаффер
Карен Пейдж,Гражданство,Человек
Карен Пейдж,Пол, 
Тревор Слэттери,Настоящее имя,Тревор Слэттери
Майя Хансен,Настоящее имя,Майя Хансен
Эрик Савин,Настоящее имя,Эрик Савин
Эллен Брандт,Настоящее имя,Эллен Брандт
Тревор Слэттери,Также известен как,Мандарин
Тревор Слэттери,Вид,Хозяин
Тревор Слэттери,Гражданство,Король Лир
Тревор Слэттери,Пол,Сэр Лоуренс Обливион
Майя Хансен,Также известен как,Доктор Майя Хансен
Майя Хансен,Вид,Человек
Майя Хансен,Гражданство, 
Майя Хансен,Пол,США
Эрик Савин,Вид,Человек
Эрик Савин,Гражданство, 
Эрик Савин,Пол,США
Эрик Савин,Дата смерти,Мужской
Митчелл Эллисон,Настоящее имя,Митчелл Эллисон
Эллен Брандт,Вид,Человек
Эллен Брандт,Гражданство,США
Эллен Брандт,Пол,Женский
Эллен Брандт,Дата смерти,22 декабря 2012
Митчелл Эллисон,Вид,Человек
Митчелл Эллисон,Гражданство,США
Митчелл Эллисон,Пол,Мужской
Митчелл Эллисон,Принадлежность,Вестник Нью-Йорка
Т. Митчелл,Настоящее имя,Т. Митчелл
Льюис Уилсон,Настоящее имя,Льюис Уилсон
Иссак Лэнг,Настоящее имя,Иссак Лэнг
Т. Митчелл,Вид,Человек
Т. Митчелл,Гражданство,США
Т. Митчелл,Пол,Мужской
Т. Митчелл,Принадлежность,Арийское братство
Льюис Уилсон,Вид,Человек
Льюис Уилсон,Гражданство, 
Льюис Уилсон,Пол,США
Льюис Уилсон,Дата рождения,Мужской
Иссак Лэнг,Вид,Человек
Иссак Лэнг,Пол,Мужской
Иссак Лэнг,Принадлежность,Вооружённые силы США
Иссак Лэнг,Статус,Мёртв
Уильям Руссо,Настоящее имя,Уильям Руссо
Уильям Руссо,Также известен как,Билли Руссо
Уильям Руссо,Вид,Билл
Уильям Руссо,Гражданство,Дядя Билл
Уильям Руссо,Пол,Дядя Билли
Акихико,Настоящее имя,Акихико
Джерин Хогарт,Настоящее имя,Джерин Хогарт
Акихико,Вид,Человек
Акихико,Гражданство,Япония
Акихико,Пол,Мужской
Акихико,Дата смерти,2023
Джерин Хогарт,Также известен как,Джери Хогарт
Джерин Хогарт,Вид,Человек
Джерин Хогарт,Гражданство, 
Джерин Хогарт,Пол,США
Рик Мэйсон,Настоящее имя,Рик Мэйсон
Топаз,Настоящее имя,Топаз
Роберт Гонсалес,Настоящее имя,Роберт Гонсалес
Рик Мэйсон,Вид,Человек
Рик Мэйсон,Пол,Мужской
Рик Мэйсон,Принадлежность,Агент 
Рик Мэйсон,Статус,Щ.И.Т.а
Топаз,Гражданство,Сакаар
Топаз,Пол,Женский
Топаз,Дата смерти,2017
Топаз,Принадлежность,[1]
Роберт Гонсалес,Также известен как,Капитан лодки любви
Роберт Гонсалес,Вид,Капитан Ахаб
Роберт Гонсалес,Гражданство,Человек
Роберт Гонсалес,Пол, 
Китанг,Настоящее имя,Китанг
Брунгильда,Настоящее имя,Брунгильда
Китанг,Вид,Нелюдь
Китанг,Гражданство, 
Китанг,Пол,Аттилан
Китанг,Принадлежность,Мужской
Брунгильда,Также известен как,Валькирия
Брунгильда,Вид,SR142
Брунгильда,Гражданство,Асгардийка
Брунгильда,Пол, 
Хаули,Настоящее имя,Хаули
Хаули,Вид,Челвоек
Хаули,Гражданство, 
Хаули,Пол,Англия
Хаули,Принадлежность, 
Алесса,Настоящее имя,Алесса
Алесса,Также известен как,Невеста девяти пауков
Алесса,Вид,Человек
Алесса,Гражданство,Южная Корея
Алесса,Пол,Женский
Электра,Настоящее имя,Электра
Роско,Настоящее имя,Роско
Хаджу,Настоящее имя,Хаджу
Тасба,Настоящее имя,Тасба
Миек,Настоящее имя,Миек
Электра,Также известен как,Электра Начиос 
Электра,Вид,Гречанка
Электра,Гражданство,Любимая
Электра,Принадлежность,Элли
Бифф,Настоящее имя,Бифф
Мус,Настоящее имя,Мус
Роско,Гражданство,Сакаарианец
Роско,Пол,Мужской
Роско,Дата смерти,2018
Роско,Принадлежность,Повстанцы Сакаара
Хаджу,Гражданство,Сакаарианец
Хаджу,Пол,Мужской
Хаджу,Дата смерти,2017
Хаджу,Принадлежность,Повстанцы Сакаара
Тасба,Гражданство,Сакаар
Тасба,Пол,Женский
Тасба,Принадлежность,Повстанцы Сакаара
Тасба,Статус,Жива
Миек,Вид,Сакаарианец
Миек,Гражданство, 
Миек,Пол,Асгард
Миек,Принадлежность,Сакаар
Бифф,Гражданство,Сакаар
Бифф,Пол,Мужской
Бифф,Принадлежность,Повстанцы Сакаара
Бифф,Статус,Жив
Мус,Вид,Человек
Мус,Пол,Мужской
Мус,Принадлежность,Преступная семья Гнусси
Мус,Статус,Мёртв
Неизвестно,Настоящее имя,Неизвестно
Неизвестно,Также известен как,Александра
Неизвестно,Вид,Александра Рид
Неизвестно,Гражданство,Анжелика Флетчер
Неизвестно,Пол,Альберта Дэвис
Коллин Винг,Настоящее имя,Коллин Винг
Гарольд Мичам,Настоящее имя,Гарольд Мичам
Вандо,Настоящее имя,Вандо
Алекси,Настоящее имя,Алекси
Коллин Винг,Также известен как,Дочь дракона
Коллин Винг,Вид,Мисс Танг
Коллин Винг,Пол,Железный кулак
Коллин Винг,Принадлежность,Человек
Гарольд Мичам,Также известен как,Мистер М
Гарольд Мичам,Вид,Фрэнк Н. Стайн
Гарольд Мичам,Пол,Человек
Гарольд Мичам,Дата рождения,Мужской
Вандо,Вид,Человек
Вандо,Пол,Мужской
Вандо,Принадлежность,Рука
Вандо,Статус,Мёртв
Алекси,Вид,Человек
Алекси,Пол,Мужской
Алекси,Принадлежность,Рука
Алекси,Статус,Мёртв
Дэррил,Настоящее имя,Дэррил
Чжоу Ченг,Настоящее имя,Чжоу Ченг
Дэррил,Вид,Человек
Дэррил,Гражданство,США
Дэррил,Пол,Мужской
Дэррил,Принадлежность,Чикара додзё
Чжоу Ченг,Также известен как,Названный защитник 
Чжоу Ченг,Вид,Руки
Чжоу Ченг,Гражданство,Человек
Чжоу Ченг,Пол,Китай
Корг,Настоящее имя,Корг
Тони,Настоящее имя,Тони
Корг,Также известен как,Глыба камней
Корг,Вид,Кронанец
Корг,Гражданство, 
Корг,Пол,Асгард
Тони,Вид,Человек
Тони,Пол,Мужской
Тони,Принадлежность,Преступная семья Гнусси
Тони,Статус,Мёртв
Григорий Везников,Настоящее имя,Григорий Везников
Андрей Везников,Настоящее имя,Андрей Везников
Григорий Везников,Вид,Человек
Григорий Везников,Гражданство, 
Григорий Везников,Пол,Россия
Григорий Везников,Принадлежность,Мужской
Андрей Везников,Вид,Человек
Андрей Везников,Гражданство, 
Андрей Везников,Пол,Россия
Андрей Везников,Принадлежность,Мужской
Нобу Йошиока,Настоящее имя,Нобу Йошиока
Бакуто,Настоящее имя,Бакуто
Нобу Йошиока,Вид,Человек
Нобу Йошиока,Гражданство,Япония
Нобу Йошиока,Пол,Мужской
Нобу Йошиока,Дата смерти,11 февраля 2015
Бакуто,Также известен как,Загадочный человек
Бакуто,Вид,Человек
Бакуто,Гражданство,К'унь-Лунь
Бакуто,Пол, 
Лев Бабиков,Настоящее имя,Лев Бабиков
Такер Шокли,Настоящее имя,Такер Шокли
Лев Бабиков,Также известен как,Русский плохой парень
Лев Бабиков,Вид,Человек
Лев Бабиков,Гражданство, 
Лев Бабиков,Пол,Советский Союз
Такер Шокли,Вид,Нелюдь
Такер Шокли,Гражданство,США
Такер Шокли,Пол,Мужской
Такер Шокли,Принадлежность,Сторожевые псы
Эллен Надир,Настоящее имя,Эллен Надир
Феликс Блейк,Настоящее имя,Феликс Блейк
Эллен Надир,Также известен как,Подстрекатель ненависти к нелюдям
Эллен Надир,Вид,Публичный ненавистник нелюдей №1
Эллен Надир,Гражданство,Человек
Эллен Надир,Пол,США
Феликс Блейк,Также известен как,Главарь
Феликс Блейк,Вид,Человек
Феликс Блейк,Гражданство, 
Феликс Блейк,Пол,США
В'Каби,Настоящее имя,В'Каби
М'Баку,Настоящее имя,М'Баку
Рамонда,Настоящее имя,Рамонда
В'Каби,Вид,Человек
В'Каби,Гражданство, 
В'Каби,Пол,Ваканда
В'Каби,Принадлежность,Мужской
М'Баку,Также известен как,Ваше величество
М'Баку,Вид,Великая горилла
М'Баку,Гражданство,Вождь горилл М'Баку
М'Баку,Пол,Человек
Рамонда,Вид,Человек
Рамонда,Гражданство, 
Рамонда,Принадлежность,Ваканда
Рамонда,Статус,Королева-мать
Тайбор,Настоящее имя,Тайбор
Т'Чака,Настоящее имя,Т'Чака
Тайбор,Вид,Нелюдь
Тайбор,Гражданство, 
Тайбор,Пол,Аттилан
Тайбор,Принадлежность,Мужской
Т'Чака,Также известен как,Чёрная пантера 
Т'Чака,Вид,Баба
Т'Чака,Гражданство,Его высочество
Т'Чака,Пол,Человек
Сэм Кёниг,Настоящее имя,Сэм Кёниг
Уитчер,Настоящее имя,Уитчер
Сэм Кёниг,Вид,Человек
Сэм Кёниг,Гражданство, 
Сэм Кёниг,Пол,США
Сэм Кёниг,Допуск,Мужской
Уитчер,Вид,Человек
Уитчер,Гражданство,США
Уитчер,Пол,Женский
Уитчер,Принадлежность,Агент 
Т'Чалла,Настоящее имя,Т'Чалла
Т'Чалла,Также известен как,Чёрная пантера
Т'Чалла,Вид,Его высочество
Т'Чалла,Гражданство,Ваше высочество
Т'Чалла,Пол,Кошатник
Уильям Кёниг,Настоящее имя,Уильям Кёниг
Бёрроус,Настоящее имя,Бёрроус
Уильям Кёниг,Также известен как,Билли Кёниг
Уильям Кёниг,Вид,Билл Кёниг
Уильям Кёниг,Гражданство,Человек
Уильям Кёниг,Пол, 
Бёрроус,Также известен как,Смитерс
Бёрроус,Вид,Человек
Бёрроус,Гражданство,США
Бёрроус,Пол,Мужской
Леопольд Джеймс Фитц,Настоящее имя,Леопольд Джеймс Фитц
Леопольд Джеймс Фитц,Также известен как,Лео Фитц
Леопольд Джеймс Фитц,Вид,Фитц-Симмонс 
Леопольд Джеймс Фитц,Гражданство,Джеммой Симмонс
Леопольд Джеймс Фитц,Пол,Доктор Фитцзи
Нэтансон,Настоящее имя,Нэтансон
Линкольн Кэмпбелл,Настоящее имя,Линкольн Кэмпбелл
Нэтансон,Вид,Человек
Нэтансон,Гражданство,США
Нэтансон,Пол,Мужской
Нэтансон,Допуск,Зелёный уровень
Линкольн Кэмпбелл,Также известен как,Линк
Линкольн Кэмпбелл,Вид,Искра
Линкольн Кэмпбелл,Гражданство,Дедуля
Линкольн Кэмпбелл,Пол,Тряси-Запекай 
Хосе Гутьеррес,Настоящее имя,Хосе Гутьеррес
